#Chromosome	Position	Peak_score	Tags_CTCF	Tags_IgG
chr4	132486890	19.74	35	9
chr4	132495595	24.7133333333	53	15
chr4	132501605	41.0533333333	85	10
chr4	132561305	36.53	62	11
chr4	132565255	17.0266666667	39	13
chr4	132612765	17.1766666667	43	21
chr4	132769010	19.2233333333	135	56
chr4	132773760	39.39	101	24
chr4	132806755	20.19	49	12
chr4	132853720	27.3433333333	64	16
chr4	132857920	29.5233333333	70	22
chr4	132866090	20.1833333333	38	5
chr4	132925585	26.1833333333	51	11
chr4	132971075	21.7433333333	50	15
chr4	132975755	35.6033333333	190	52
chr4	132979085	37.87	190	52
chr4	132980165	27.0833333333	190	52
chr4	133005790	24.8466666667	99	14
chr4	133007690	25.4966666667	99	14
chr4	133035825	25.9733333333	53	9
chr4	133050550	17.6666666667	41	7
chr4	133069180	27.04	45	9
chr4	133148750	19.6266666667	42	10
chr4	133158040	23.8	56	16
chr4	133165810	26.9633333333	104	30
chr4	133206060	32.0066666667	69	11
chr4	133227285	16.0966666667	43	11
chr4	133385825	24.26	54	11
chr4	133433965	45.59	90	16
chr4	133466985	46.7166666667	88	22
chr4	133592040	40.8166666667	64	8
chr4	133641100	24.2033333333	103	35
chr4	133643590	27.78	103	35
chr4	133648525	19.3833333333	54	9
chr4	133675815	19.14	50	20
chr4	133680085	55.1	113	23
chr4	133743230	44.4533333333	77	13
chr4	133801625	18.8733333333	52	12
chr4	133805795	28.0633333333	52	26
chr4	133819310	29.1433333333	73	12
chr4	133848280	23.7066666667	50	11
chr4	133868935	19.5366666667	39	3
chr4	133912925	33.4833333333	74	19
chr4	133944550	18.1933333333	33	5
chr4	133952100	53.0033333333	83	6
chr4	134034145	66.9533333333	205	32
chr4	134036895	40.1866666667	205	32
chr4	134099340	33.3266666667	70	13
chr4	134125275	25.2166666667	64	12
chr4	134237870	18.75	44	14
chr4	134257980	26.3866666667	51	10
chr4	134281875	28.8366666667	65	10
chr4	134302325	32.63	150	39
chr4	134305385	32.7833333333	150	39
chr4	134351530	16.6033333333	83	14
chr4	134355410	28.2866666667	49	9
chr4	134435490	26.65	77	21
chr4	134439425	24.9466666667	61	12
chr4	134501995	32.64	57	15
chr4	134519150	34.6133333333	54	13
chr4	134531285	25.95	65	13
chr4	134540715	17.61	38	7
chr4	134569215	16.9066666667	115	42
chr4	134574235	27.1233333333	62	15
chr4	134590490	32.86	61	10
chr4	134622910	42.91	112	22
chr4	134641155	22.04	54	14
chr4	134706540	52.11	97	12
chr4	134735085	16.85	34	15
chr4	134762395	39.9833333333	82	15
chr4	134800410	20.3833333333	38	4
chr4	134874040	17.5033333333	33	12
chr4	134931560	19.2466666667	39	8
chr4	134938410	20.0466666667	64	12
chr4	134967680	25.26	59	8
chr4	135050670	26.5133333333	59	10
chr4	135073035	20.7266666667	56	10
chr4	135086470	16.51	48	13
chr4	135222310	31.12	71	20
chr4	135265275	93.4166666667	167	26
chr4	135279010	29.57	75	15
chr4	135307025	18.0866666667	48	21
chr4	135324960	26.37	51	8
chr4	135357535	25.27	96	21
chr4	135359445	24.6466666667	96	21
chr4	135379435	17.8233333333	36	4
chr4	135446030	19.15	34	5
chr4	135476465	32.1433333333	72	12
chr4	135516850	58.38	105	12
chr4	135609365	25.55	60	16
chr4	135626100	33.78	135	18
chr4	135627450	45.3366666667	135	18
chr4	135716205	34.3266666667	124	16
chr4	135719615	28.54	124	16
chr4	135736080	43.7866666667	83	20
chr4	135756070	20.6533333333	71	17
chr4	135758640	19.4933333333	71	17
chr4	135925895	18.24	32	7
chr4	135981020	18.8433333333	37	10
chr4	135987430	29.5966666667	59	11
chr4	136010880	28.3766666667	56	18
chr4	136155880	19.6666666667	99	25
chr4	136158750	33.4133333333	99	25
chr4	136177310	24.7366666667	63	16
chr4	136205035	38.5033333333	151	39
chr4	136207595	28.7966666667	151	39
chr4	136222165	21.5366666667	51	12
chr4	136234550	38.39	79	9
chr4	136252585	31.3666666667	101	27
chr4	136371500	34.15	67	7
chr4	136397165	17.37	32	8
chr4	136450130	22.64	63	24
chr4	136463180	41.4066666667	86	13
chr4	136485085	22.48	45	17
chr4	136527015	21.5666666667	54	10
chr4	136537350	19.93	36	8
chr4	136628735	25.71	58	16
chr4	136632120	28.0066666667	52	10
chr4	136720500	66.0033333333	111	13
chr4	136843910	25.36	58	26
chr4	136864495	19.17	44	17
chr4	136999655	22.28	78	21
chr4	137074815	21.5866666667	69	30
chr4	137134215	25.3033333333	49	17
chr4	137239195	35.4166666667	71	9
chr4	137270015	16.3466666667	42	4
chr4	137278795	72.3933333333	431	46
chr4	137280845	205.8	431	46
chr4	137286220	31.1633333333	83	19
chr4	137300490	24.6766666667	61	11
chr4	137391975	35.72	60	18
chr4	137400735	32.5866666667	50	14
chr4	137413320	27.31	85	18
chr4	137427150	35.9133333333	72	17
chr4	137520100	41.0833333333	98	8
chr4	137524280	34.2033333333	60	11
chr4	137663865	21.3566666667	47	13
chr4	137675880	21.7733333333	46	12
chr4	137710110	17.8533333333	42	9
chr4	137838945	165.653333333	240	19
chr4	137867680	51.8966666667	104	22
chr4	137871840	17.6266666667	343	74
chr4	137874670	35.1633333333	343	74
chr4	137875630	117.056666667	343	74
chr4	137882295	37.5866666667	77	10
chr4	137960865	20.0066666667	39	6
chr4	137982825	19.2866666667	107	46
chr4	137985935	20.3066666667	107	46
chr4	138003450	31.8966666667	56	17
chr4	138061470	22.49	55	18
chr4	138118050	29.24	43	7
chr4	138256375	30.99	57	12
chr4	138264785	19.8366666667	95	37
chr4	138308685	24.2166666667	54	18
chr4	138407605	36.7633333333	70	13
chr4	138412645	104.5	214	29
chr4	138422545	26.7033333333	53	14
chr4	138440430	23.0633333333	47	14
chr4	138469985	25.1033333333	70	8
chr4	138478180	44.8666666667	78	13
chr4	138499850	17.28	30	8
chr4	138552485	26.9966666667	75	23
chr4	138632155	18.2	91	27
chr4	138682695	18.28	42	14
chr4	138761955	17.4233333333	40	5
chr4	138777235	16.21	67	22
chr4	138788920	34.4733333333	75	19
chr4	138807935	16.9066666667	72	20
chr4	138843615	40.1133333333	171	37
chr4	138845115	47.1233333333	171	37
chr4	138886695	24.29	44	7
chr4	138893110	27.9633333333	57	14
chr4	138959295	17.7066666667	39	14
chr4	138986230	20.1166666667	60	16
chr4	139026295	28.69	73	19
chr4	139158690	31.68	60	20
chr4	139167675	27.12	54	7
chr4	139186270	21.9633333333	44	12
chr4	139192495	34.9566666667	82	20
chr4	139200145	52.3066666667	99	28
chr4	139225985	33.9033333333	67	29
chr4	139240760	22.6566666667	57	14
chr4	139345945	18.3766666667	51	14
chr4	139396655	20.89	44	15
chr4	139414715	21.5166666667	42	10
chr4	139428720	34.02	69	15
chr4	139433370	58.77	116	18
chr4	139481380	21.68	44	9
chr4	139491310	19.9133333333	39	23
chr4	139586615	27.7833333333	138	35
chr4	139589385	29.8866666667	138	35
chr4	139608660	20.5633333333	45	12
chr4	139652470	17.2633333333	34	11
chr4	139656260	21.3133333333	50	8
chr4	139671195	17.83	39	6
chr4	139696685	21.8266666667	124	41
chr4	139699315	27.5733333333	124	41
chr4	139709235	26.5933333333	66	11
chr4	139715660	16.93	43	12
chr4	139808515	16.2866666667	48	10
chr4	139962475	19.45	46	10
chr4	139982525	20.25	48	22
chr4	140095295	25.8433333333	53	11
chr4	140103665	31.1566666667	73	18
chr4	140111355	40.18	88	22
chr4	140148315	16.3366666667	52	20
chr4	140230475	19.1433333333	46	9
chr4	140235745	23.7933333333	58	14
chr4	140270030	28.6166666667	57	15
chr4	140287760	16.35	47	8
chr4	140300700	25.43	40	6
chr4	140319225	22.7033333333	41	16
chr4	140345015	26.57	45	7
chr4	140349960	17.5566666667	36	11
chr4	140458560	34.9366666667	69	23
chr4	140513945	26.9866666667	60	11
chr4	140520635	37.8533333333	70	12
chr4	140537650	17.2533333333	42	12
chr4	140562050	30.8633333333	68	20
chr4	140587815	25.7266666667	45	16
chr4	140616640	30.54	51	17
chr4	140621170	50.4466666667	97	29
chr4	140625830	23.5166666667	58	22
chr4	140634355	22.9466666667	52	10
chr4	140657945	28.9233333333	56	8
chr4	140676810	26.6833333333	57	14
chr4	140698360	26.02	56	11
chr4	140703720	17.6466666667	58	9
chr4	140760470	16.3733333333	59	16
chr4	140770660	22.0466666667	44	14
chr4	140813510	26.7833333333	47	14
chr4	140823885	24.14	51	10
chr4	140829350	49.27	93	19
chr4	140916900	25.9266666667	102	32
chr4	140941380	35.1566666667	105	21
chr4	140960830	29.2933333333	111	37
chr4	140963040	26.8166666667	111	37
chr4	140967630	26.7966666667	59	12
chr4	140985895	23.0366666667	47	3
chr4	141116030	30.3166666667	55	12
chr4	141131460	30.3566666667	102	22
chr4	141132970	25.31	102	22
chr4	141147645	24.9566666667	48	3
chr4	141173330	16.9933333333	36	13
chr4	141181350	16.6833333333	41	12
chr4	141215865	17.0066666667	32	4
chr4	141365960	24.1866666667	53	18
chr4	141378220	19.3333333333	63	14
chr4	141409575	19.1933333333	34	9
chr4	141413515	20.3733333333	37	9
chr4	141514300	24.7	52	12
chr4	141519190	16.65	36	10
chr4	141532160	26.2366666667	45	5
chr4	141561400	39.6966666667	78	17
chr4	141654535	21.3033333333	47	17
chr4	141669440	25.8066666667	54	16
chr4	141709630	72.82	116	8
chr4	141718185	24.6133333333	45	14
chr4	141742265	22.27	69	30
chr4	141804470	26.3866666667	97	23
chr4	141805430	18.8733333333	97	23
chr4	141810210	20.7	31	9
chr4	141905120	23.4433333333	39	11
chr4	141970875	16.1	27	4
chr4	142611435	29.1	61	15
chr4	142617365	17.5666666667	57	11
chr4	142741300	21.22	33	8
chr4	142793365	34.18	63	18
chr4	142838070	24.3633333333	39	4
chr4	142848600	17.19	44	7
chr4	142970685	20.1566666667	42	9
chr4	144010715	16.0366666667	24	4
chr4	144141195	18.16	42	12
chr4	144463000	17.6033333333	34	6
chr4	144480620	26.3733333333	61	11
chr4	144746055	51.6066666667	97	22
chr4	144784965	54.7	93	15
chr4	144804470	30.66	66	11
chr4	144809765	16.99	48	12
chr4	144876845	25.4166666667	55	10
chr4	144885765	22.0866666667	40	12
chr4	145029825	30.4166666667	81	33
chr4	145068265	26.19	70	20
chr4	145133730	16.4	141	68
chr4	145135270	21.1666666667	141	68
chr4	145135910	24.4133333333	141	68
chr4	145147890	23.2066666667	93	55
chr4	145148550	17.0233333333	93	55
chr4	145667500	16.88	59	22
chr4	145714230	40.7533333333	98	29
chr4	145717295	22.2766666667	36	15
chr4	145743540	25.72	72	41
chr4	146023830	18.76	81	36
chr4	146034585	21.0033333333	33	17
chr4	146714430	19.9566666667	41	7
chr4	146778880	25.73	127	54
chr4	146790640	24.34	58	37
chr4	146796290	20.2866666667	256	119
chr4	146797890	27.37	256	119
chr4	146798830	16.4266666667	256	119
chr4	146800290	26.3066666667	256	119
chr4	146806525	24.0766666667	73	48
chr4	146893560	22.4933333333	152	93
chr4	146894430	29.4833333333	152	93
chr4	146900270	17.3633333333	60	31
chr4	146901100	16.63	60	31
chr4	146904765	18.73	49	20
chr4	147292715	21.0533333333	55	10
chr4	147327830	16.9066666667	38	11
chr4	147334405	27.7933333333	60	12
chr4	147389725	32.1966666667	59	18
chr4	147434615	21.6666666667	46	18
chr4	147448905	16.34	38	14
chr4	147456590	21.9333333333	46	13
chr4	147476440	26.9633333333	51	19
chr4	147489040	51.1833333333	147	32
chr4	147538390	26.9466666667	226	70
chr4	147542660	26.5766666667	226	70
chr4	147545080	27.6566666667	226	70
chr4	147560115	36.2933333333	60	8
chr4	147662350	145.016666667	224	17
chr4	147712890	16.3666666667	38	12
chr4	147803950	27.2966666667	70	8
chr4	147809995	17.34	52	13
chr4	147837585	22.28	47	13
chr4	147888965	16.2633333333	41	8
chr4	147979135	26.61	128	36
chr4	147982105	31.1733333333	128	36
chr4	148018430	23.5033333333	49	11
chr4	148029300	25.9266666667	59	12
chr4	148036340	24.6366666667	64	22
chr4	148079055	33.5966666667	69	18
chr4	148116885	20.49	50	19
chr4	148277120	17.3033333333	39	12
chr4	148282370	22.2466666667	51	12
chr4	148441270	19.5233333333	41	16
chr4	148450210	26.81	75	13
chr4	148511750	24.1833333333	53	15
chr4	148518715	34.9266666667	63	14
chr4	148557015	23.4433333333	67	11
chr4	148682055	46.4266666667	96	10
chr4	148819540	23.0966666667	41	8
chr4	148827935	21.0866666667	74	15
chr4	148917410	42.5966666667	98	20
chr4	148923605	24.2266666667	45	14
chr4	148965850	19.0466666667	37	4
chr4	148985910	17.72	46	6
chr4	149002635	17.2	35	11
chr4	149024745	21.2933333333	68	18
chr4	149028515	41.1533333333	75	26
chr4	149072510	26.4833333333	46	7
chr4	149084885	17.3233333333	34	7
chr4	149093990	35.54	82	21
chr4	149098195	42.6533333333	151	49
chr4	149100305	29.5666666667	151	49
chr4	149112275	24.6266666667	55	9
chr4	149180985	19.3933333333	51	18
chr4	149184680	45.61	116	68
chr4	149216125	26.2866666667	45	8
chr4	149332875	28.0066666667	48	7
chr4	149354185	22.6833333333	51	10
chr4	149382605	24.0266666667	49	16
chr4	149409600	24.3133333333	58	18
chr4	149447430	18.7066666667	40	13
chr4	149459715	16.6233333333	35	4
chr4	149466535	25.7	54	16
chr4	149473220	30.6333333333	71	18
chr4	149511055	41.3333333333	66	16
chr4	149537005	39.69	73	23
chr4	149548220	16.29	97	21
chr4	149550760	21.79	97	21
chr4	149568180	23.0633333333	47	14
chr4	149614350	51.3466666667	89	13
chr4	149622315	50.2733333333	96	18
chr4	149627155	39.82	61	4
chr4	149631500	30.74	72	11
chr4	149639190	23.0766666667	47	15
chr4	149670255	25.7866666667	48	14
chr4	149701825	17.2966666667	35	8
chr4	149888835	18.0933333333	46	18
chr4	150000640	21.9333333333	87	28
chr4	150030205	23.52	87	23
chr4	150030925	24.1133333333	87	23
chr4	150037440	25.9633333333	149	44
chr4	150092445	17.3166666667	33	12
chr4	150215725	18.1533333333	40	15
chr4	150276040	31.1733333333	115	38
chr4	150300190	17.55	34	9
chr4	150339510	32.3033333333	125	19
chr4	150340920	16.4966666667	125	19
chr4	150364390	25.8466666667	52	30
chr4	150381330	31.3166666667	56	15
chr4	150401285	23.6433333333	61	10
chr4	150469575	20.6833333333	39	16
chr4	150513715	19.0766666667	110	27
chr4	150515815	33.7333333333	110	27
chr4	150531260	26.3	87	32
chr4	150591235	18.55	80	28
chr4	150606360	22.19	48	11
chr4	150614800	24.81	83	20
chr4	150657295	33.4366666667	140	36
chr4	150659735	29.0233333333	140	36
chr4	150676425	61.6	105	12
chr4	150709590	32.5266666667	73	21
chr4	150857580	17.14	39	18
chr4	151068360	27.8366666667	53	11
chr4	151132600	21.36	45	15
chr4	151240140	19.18	41	22
chr4	151254600	24.7833333333	51	8
chr4	151271465	16.3133333333	126	35
chr4	151275785	16.3766666667	126	35
chr4	151307825	65.6533333333	113	17
chr4	151346940	16.2333333333	31	5
chr4	151349760	19.24	246	69
chr4	151352100	32.4333333333	246	69
chr4	151355620	43.4366666667	246	69
chr4	151413420	34.5433333333	74	28
chr4	151470295	31.58	72	15
chr4	151477300	41.1966666667	85	21
chr4	151493580	28.56	84	19
chr4	151508780	25.8466666667	68	21
chr4	151512735	39.9333333333	135	23
chr4	151514825	26.2966666667	135	23
chr4	151528035	48.03	83	13
chr4	151532160	20.76	58	15
chr4	151539835	23.0866666667	51	11
chr4	151545895	16.15	77	20
chr4	151547405	22.8133333333	77	20
chr4	151588335	37.3333333333	71	19
chr4	151650675	45.42	84	24
chr4	151657505	34.1033333333	129	49
chr4	151659755	17.39	129	49
chr4	151693190	19.6833333333	35	10
chr4	151707290	101.783333333	182	20
chr4	151717635	17.4666666667	45	10
chr4	151760390	18.6533333333	49	12
chr4	151799180	21.9266666667	57	12
chr4	151806550	37.3133333333	171	24
chr4	151809480	32.2566666667	171	24
chr4	151865770	21.11	50	14
chr4	151894280	20.5433333333	37	10
chr4	151904910	27.0066666667	55	19
chr4	151999260	19.4366666667	86	19
chr4	152000090	20.2566666667	86	19
chr4	152021955	42.94	69	6
chr4	152037755	35.8733333333	90	18
chr4	152074525	37.8066666667	71	8
chr4	152405715	16.42	35	14
chr4	152549960	46.03	79	15
chr4	152855195	24.7133333333	44	19
chr4	152858770	24.12	45	12
chr4	153202315	35.5366666667	83	13
chr4	153287910	20.0266666667	40	13
chr4	153317525	18.9366666667	37	8
chr4	153393975	19.9566666667	58	12
chr4	153400325	21.52	99	28
chr4	153439700	36.26	78	19
chr4	153445135	34.3366666667	68	23
chr4	153467680	16.22	56	12
chr4	153479600	43.2066666667	76	19
chr4	153533315	59.4366666667	108	21
chr4	153537640	20.7366666667	56	16
chr4	153541400	22.11	49	12
chr4	153581600	31.1966666667	73	15
chr4	153620695	27.5166666667	57	10
chr4	153647280	30.3133333333	75	19
chr4	153675865	24.2233333333	40	19
chr4	153703170	19.8266666667	42	12
chr4	153768055	27.7433333333	56	14
chr4	153793190	20.3866666667	45	14
chr4	154048885	28.5033333333	50	10
chr4	154123465	20.8533333333	51	12
chr4	154150860	16.1233333333	86	28
chr4	154172090	23.18	47	6
chr4	154200035	27.9433333333	58	13
chr4	154211485	43.52	78	11
chr4	154230485	16.6466666667	59	20
chr4	154252080	22.08	35	2
chr4	154282070	20.3733333333	44	17
chr4	154299730	27.1133333333	51	10
chr4	154318585	64.9366666667	111	19
chr4	154354495	23.0533333333	87	27
chr4	154360300	16.0466666667	51	15
chr4	154387105	36.4	66	9
chr4	154428915	40.0033333333	102	18
chr4	154440260	32.1666666667	61	14
chr4	154449440	27.0533333333	57	10
chr4	154468780	24.3733333333	121	24
chr4	154469590	40.4133333333	121	24
chr4	154623525	49.04	95	16
chr4	154653285	17.69	48	13
chr4	154682315	27.27	61	27
chr4	154694840	27.5766666667	62	16
chr4	154743010	41.0966666667	61	8
chr4	154855600	19.2333333333	33	15
chr4	155144520	65.0666666667	139	23
chr4	155205660	30.15	106	24
chr4	155366520	26.77	64	28
chr4	155407910	33.97	87	17
chr5	3385295	16	36	5
chr5	3543800	24.8833333333	48	11
chr5	3596595	21.8666666667	53	26
chr5	4962160	20.8233333333	44	10
chr5	5508090	28.13	56	15
chr5	5749370	34.2733333333	70	14
chr5	7820760	16.4166666667	38	7
chr5	8841070	16.9333333333	32	4
chr5	8919675	16.07	28	6
chr5	9056260	19.11	30	3
chr5	9112045	44.71	80	14
chr5	15006895	21.8266666667	40	19
chr5	16453495	16.3433333333	25	2
chr5	17594015	43.2933333333	86	3
chr5	18422925	30.91	50	10
chr5	18770670	27.72	42	3
chr5	20207560	16.5866666667	37	14
chr5	20474965	16.8	37	3
chr5	20832480	19.8933333333	41	8
chr5	21092825	20.5766666667	36	4
chr5	21164670	22.0066666667	45	11
chr5	21241605	30.5633333333	80	15
chr5	21319990	16.3533333333	35	10
chr5	21421955	18.0533333333	28	7
chr5	21833205	29.55	46	4
chr5	22757895	25.74	42	9
chr5	23293475	35.55	66	12
chr5	23356285	17.9133333333	41	12
chr5	23767085	23.6366666667	45	16
chr5	23772655	21.3266666667	63	18
chr5	23841825	23.7466666667	43	13
chr5	23863530	16.3166666667	30	9
chr5	23866865	52.1433333333	85	10
chr5	23889560	36.49	69	17
chr5	23899330	21.5666666667	101	17
chr5	23900670	33.0666666667	101	17
chr5	23922175	30.0133333333	66	22
chr5	23976705	31.5	54	23
chr5	23987610	25.4733333333	198	49
chr5	23989350	29.1733333333	198	49
chr5	23992030	20.2633333333	198	49
chr5	24036085	91.3466666667	153	13
chr5	24120160	19.3666666667	39	16
chr5	24158145	16.8133333333	35	15
chr5	24256760	20.6433333333	40	17
chr5	24286180	20.33	43	11
chr5	24408795	16.7366666667	35	3
chr5	24489570	34.8166666667	69	15
chr5	24512810	32.3233333333	236	59
chr5	24516290	37.0933333333	236	59
chr5	24517130	41.3666666667	236	59
chr5	24622665	19.9566666667	41	17
chr5	25337625	16.5233333333	36	7
chr5	25345345	48.2033333333	71	7
chr5	25354095	16.3266666667	33	6
chr5	26333890	44.6233333333	195	93
chr5	26397430	39.94	96	33
chr5	26423510	89.5933333333	180	50
chr5	26609000	22.7233333333	45	4
chr5	27017880	20.0333333333	44	9
chr5	27356455	18.07	31	7
chr5	27362685	16.6733333333	32	9
chr5	27942545	18.17	45	9
chr5	28007255	23.3966666667	41	12
chr5	28014145	20.6166666667	48	8
chr5	28063970	28.47	55	16
chr5	28120655	28.2966666667	52	15
chr5	28321800	20.2966666667	48	13
chr5	28620715	27.6533333333	52	10
chr5	28656105	22.52	44	6
chr5	28796510	25.1066666667	65	18
chr5	29619920	23.3666666667	40	6
chr5	29716050	22.29	56	7
chr5	30014480	50.6566666667	96	30
chr5	30430940	24.84	208	81
chr5	30441050	28.3966666667	133	33
chr5	30528190	18.9133333333	41	10
chr5	30541550	16	27	7
chr5	30645640	23.7	40	17
chr5	30694105	23.3733333333	49	12
chr5	30744800	19.64	33	12
chr5	30779140	34.9133333333	67	12
chr5	30818955	20.7066666667	35	12
chr5	30940645	34.41	63	15
chr5	30989410	17.79	102	27
chr5	31012385	17.3533333333	31	3
chr5	31077635	16.9133333333	37	17
chr5	31098635	25.6633333333	77	20
chr5	31108650	25.7533333333	49	15
chr5	31223705	22.56	66	25
chr5	31284875	19.72	49	7
chr5	31300900	24.09	45	4
chr5	31306740	20.8033333333	60	9
chr5	31383980	29.66	77	12
chr5	31495405	28.74	66	20
chr5	31502635	17.1766666667	48	19
chr5	31772950	18.0066666667	53	13
chr5	31866065	25.71	56	16
chr5	31901835	18.0166666667	53	15
chr5	32500265	35.65	73	24
chr5	32507055	16.7433333333	62	11
chr5	32533010	19.5666666667	33	5
chr5	32605735	32.2033333333	49	10
chr5	33076790	35.5433333333	70	47
chr5	33376000	27.1333333333	94	20
chr5	33376950	32.38	94	20
chr5	33387740	17.8133333333	43	9
chr5	33486830	17.7266666667	56	7
chr5	33546370	34.8766666667	70	15
chr5	33613360	33.1666666667	76	16
chr5	33736650	65.19	114	15
chr5	33835540	16.37	37	5
chr5	33838965	52.2233333333	104	21
chr5	33886250	48.4266666667	115	38
chr5	33891580	20.22	35	16
chr5	33932410	46.3533333333	90	20
chr5	33936455	18.2866666667	33	8
chr5	34080705	21.63	36	9
chr5	34337445	21.1033333333	47	13
chr5	34553020	46.4766666667	76	11
chr5	34578825	21.4933333333	52	17
chr5	34860715	47.1933333333	70	5
chr5	34985810	20.5166666667	32	5
chr5	34990460	24.0566666667	53	9
chr5	35003055	19.3633333333	64	18
chr5	35012370	23.7866666667	62	10
chr5	35258725	21.58	56	17
chr5	35328725	35.48	59	8
chr5	35385895	41.8466666667	74	17
chr5	35431620	22.2933333333	38	11
chr5	35474535	19.03	63	13
chr5	35691625	16.67	28	8
chr5	35704725	61.05	118	20
chr5	35776920	17.29	37	15
chr5	35866615	22.0066666667	85	21
chr5	35873255	27.7866666667	78	32
chr5	35879065	16.4266666667	48	14
chr5	35900840	17.4433333333	39	9
chr5	35906265	29.88	69	28
chr5	35935160	33.08	176	37
chr5	35938530	50.9866666667	176	37
chr5	35970170	19.38	41	9
chr5	36038625	19.48	52	10
chr5	36043875	38.0833333333	78	19
chr5	36056505	25.48	58	11
chr5	36060860	17.3233333333	42	12
chr5	36089680	23.14	56	6
chr5	36098295	36.77	98	24
chr5	36138230	38.2433333333	74	19
chr5	36200910	22.6433333333	61	18
chr5	36213380	29.3433333333	49	6
chr5	36227140	20.82	57	16
chr5	36233350	18.7366666667	51	11
chr5	36324760	30.58	62	19
chr5	36738820	31.2466666667	149	46
chr5	36740920	28.65	149	46
chr5	36741690	16.23	149	46
chr5	36801695	19.5933333333	33	2
chr5	36805685	21.4033333333	51	12
chr5	36881420	21.4733333333	49	17
chr5	37133865	37.0633333333	72	19
chr5	37148340	16.47	37	5
chr5	37170900	29.1333333333	68	17
chr5	37202875	26.4333333333	54	16
chr5	37211630	36.9933333333	71	21
chr5	37221925	86.9	144	21
chr5	37227345	32.3333333333	54	18
chr5	37320065	24.9333333333	70	18
chr5	37337865	29.6766666667	130	30
chr5	37340345	32.17	130	30
chr5	37346685	23.65	51	16
chr5	37350225	21.7733333333	51	23
chr5	37500845	37.6866666667	69	10
chr5	37509600	17.64	60	19
chr5	37538905	19.69	56	11
chr5	37554610	52.7266666667	98	26
chr5	37679905	30.9266666667	170	36
chr5	37680645	25.0333333333	170	36
chr5	37682425	26.24	170	36
chr5	37745835	21.72	48	13
chr5	38099620	16.2333333333	38	5
chr5	38143810	34.0033333333	66	14
chr5	38205610	20.1466666667	87	39
chr5	38208190	18.45	87	39
chr5	38296155	17.2633333333	42	12
chr5	38477480	22.6533333333	45	9
chr5	38588945	27.2666666667	58	15
chr5	38626875	27.74	62	8
chr5	38699090	79.8633333333	174	27
chr5	38700330	17.57	174	27
chr5	38828080	16.3933333333	32	9
chr5	38861300	24.41	43	17
chr5	38921210	19.38	46	16
chr5	38972220	33.6366666667	63	10
chr5	39146485	16.6033333333	49	12
chr5	39173175	17.58	40	12
chr5	42159850	21.1866666667	43	4
chr5	42275995	18.8166666667	81	11
chr5	42279255	19.49	81	11
chr5	44315320	16.9233333333	41	9
chr5	44381840	33.22	49	15
chr5	44440045	17.1233333333	35	11
chr5	44675810	23.6	46	9
chr5	45222745	17.7766666667	32	3
chr5	45794100	19.5333333333	45	7
chr5	45865625	22.9433333333	44	3
chr5	45925720	19.8566666667	54	10
chr5	45926180	16.9533333333	54	10
chr5	45930865	22.9033333333	44	9
chr5	49741990	21.5833333333	43	10
chr5	49760475	16.4633333333	27	11
chr5	50353340	17.8833333333	46	13
chr5	50393755	16.5933333333	29	4
chr5	52456445	54.5333333333	96	11
chr5	52507450	23.4433333333	47	3
chr5	52523500	33.59	67	19
chr5	52938375	19.64	57	15
chr5	53025485	19.6233333333	43	14
chr5	53174335	19.1866666667	34	5
chr5	53247190	23.11	35	3
chr5	53270360	16.06	27	11
chr5	53369760	20.6133333333	43	6
chr5	53504365	22.1766666667	42	7
chr5	53717570	37.07	80	15
chr5	53746480	40.08	73	10
chr5	54049315	19.5066666667	42	11
chr5	54063715	23.43	48	12
chr5	54263270	20.6333333333	38	5
chr5	64203290	18.8666666667	50	13
chr5	64278135	19.2033333333	60	8
chr5	64298000	20.17	40	13
chr5	64461500	67.7466666667	102	14
chr5	64593765	19.4766666667	51	5
chr5	64680695	27.5066666667	61	10
chr5	64773935	40.3	77	6
chr5	64897525	17.32	36	7
chr5	65324950	18.3166666667	35	4
chr5	65548230	43.6833333333	112	16
chr5	65604715	27.83	53	10
chr5	65729815	16.0066666667	32	6
chr5	65793015	33.8066666667	70	16
chr5	65917485	17.06	33	8
chr5	66215050	19.7466666667	57	13
chr5	66329475	20.3	49	5
chr5	66342890	22.3333333333	45	11
chr5	66347225	24.4233333333	85	30
chr5	66448035	25.47	48	1
chr5	66474825	26.3333333333	53	13
chr5	66525945	17.9566666667	31	3
chr5	66672165	20.6966666667	33	9
chr5	66717850	73.9166666667	125	11
chr5	66729995	28.6733333333	53	17
chr5	66760460	35.69	60	15
chr5	66777085	29.7133333333	57	7
chr5	66815370	21.0066666667	50	9
chr5	67010145	32.3966666667	72	24
chr5	67054385	65.0066666667	103	10
chr5	67388315	20.5666666667	49	9
chr5	67407815	17.4333333333	35	11
chr5	67922370	32.6866666667	105	19
chr5	67923730	25.7666666667	105	19
chr5	68404040	18.74	38	4
chr5	72741710	17.4166666667	31	6
chr5	73056605	16.5833333333	35	12
chr5	73282970	22.21	83	17
chr5	73462750	38.5666666667	62	11
chr5	73506305	19.1466666667	38	4
chr5	73525230	27.2033333333	53	14
chr5	73590140	17.1166666667	30	4
chr5	73823030	17.5766666667	40	11
chr5	73931655	21.3133333333	42	12
chr5	74024590	21.1766666667	35	3
chr5	74245435	16.5266666667	39	6
chr5	74329210	23.4966666667	45	8
