P32234 	 FBgn0010339
P30430 	 P30430missing
P30432 	 FBgn0004598
Q9BJZ5 	 FBgn0023441
Q9W596 	 FBgn0259108
Q95T12 	 FBgn0261722
Q9VJD3 	 FBgn0024689
O16868 	 FBgn0001084
P18537 	 FBgn0001085
Q9VVX3 	 FBgn0016797
O77438 	 FBgn0027343
Q9NBW1 	 FBgn0027342
O18412 	 FBgn0011596
P54362 	 FBgn0001087
P20228 	 FBgn0004516
Q9W0P5 	 FBgn0035147
Q6WV20 	 FBgn0034025
Q8MV48 	 FBgn0030930
Q05337 	 FBgn0010223
P20353 	 FBgn0001104
P16378 	 FBgn0001122
P23625 	 FBgn0004435
P20354 	 FBgn0001123
Q9VMA2 	 FBgn0263200
Q8I0G5 	 FBgn0028968
P42276 	 FBgn0010359
P23257 	 FBgn0260639
P42271 	 FBgn0010097
P07486 	 FBgn0001091
P07487 	 FBgn0001092
Q8MT08 	 FBgn0029667
Q9VE09 	 FBgn0260779
P27091 	 FBgn0024234
P26308 	 FBgn0001105
P29829 	 FBgn0004623
Q9VVY3 	 FBgn0036862
Q01820 	 FBgn0005695
Q9W3K5 	 FBgn0040319
Q27403 	 FBgn0014179
Q9VLA2 	 FBgn0019809
O62589 	 FBgn0000808
P54385 	 FBgn0001098
P22468 	 FBgn0001099
Q9U5V6 	 FBgn0028377
Q9VKK1 	 FBgn0032340
Q9W1B0 	 FBgn0023081
Q07171 	 FBgn0010225
Q9VVX0 	 FBgn0036850
Q9VRJ0 	 FBgn0263831
P38040 	 FBgn0004921
Q9NFZ3 	 FBgn0267252
Q9VHV5 	 FBgn0037551
P36951 	 FBgn0011770
Q9VQM4 	 FBgn0260817
P13496 	 FBgn0001108
P13360 	 FBgn0004618
O97422 	 FBgn0066114
Q9VTG7 	 FBgn0036144
Q9VLA1 	 FBgn0032135
P18173 	 FBgn0001112
Q9VD44 	 FBgn0038934
Q9VD73 	 FBgn0015229
P33438 	 FBgn0001114
Q94900 	 FBgn0024963
Q03445 	 FBgn0004619
Q8IRI6 	 FBgn0264574
P53403 	 FBgn0015230
Q9XTL9 	 FBgn0004507
Q9VFC8 	 FBgn0266064
Q9VMW9 	 FBgn0031661
Q9W1X8 	 FBgn0267823
Q9NHB0 	 FBgn0040323
Q9VVR4 	 FBgn0040322
Q9NHA8 	 FBgn0040321
P35600 	 FBgn0004913
Q9VKX7 	 FBgn0032234
Q06003 	 FBgn0004919
Q8SZ63 	 FBgn0039188
Q9VE50 	 FBgn0044871
P13706 	 FBgn0001128
Q8INR6 	 FBgn0264495
P32865 	 FBgn0260798
P32866 	 FBgn0261988
O61366 	 FBgn0024232
Q9W594 	 FBgn0265139
Q9W497 	 FBgn0003747
Q9W367 	 FBgn0030108
Q8IRL8 	 FBgn0052693
P58950 	 FBgn0045502
Q9VYZ2 	 FBgn0030297
Q9VPT1 	 FBgn0041250
P58951 	 FBgn0045501
P84180 	 FBgn0045500
P58952 	 FBgn0265138
P84181 	 FBgn0045498
P58953 	 FBgn0045497
P58954 	 FBgn0041249
Q9VQE7 	 FBgn0041248
P83292 	 P83292missing
Q9VM09 	 FBgn0041247
Q9VM08 	 FBgn0045495
Q9VKJ7 	 FBgn0041246
Q9VKA5 	 FBgn0032416
P58955 	 FBgn0045487
Q9VJF2 	 FBgn0045486
Q8INZ2 	 FBgn0045485
P58956 	 FBgn0264556
P58957 	 P58957missing
P58958 	 P58958missing
P58959 	 P58959missing
P58960 	 FBgn0041245
Q9V4K2 	 FBgn0041243
P58961 	 FBgn0041241
Q9V969 	 FBgn0041240
P58962 	 FBgn0041239
Q9W2B1 	 FBgn0041238
Q9W2B2 	 FBgn0041237
Q9W1U5 	 FBgn0041235
P58985 	 FBgn0041236
Q9W1N6 	 FBgn0041233
Q9W1N5 	 FBgn0041234
Q9W0M2 	 FBgn0035167
Q9VZL7 	 FBgn0035468
P83293 	 FBgn0045479
P83294 	 FBgn0045478
P83295 	 FBgn0045477
Q9VZJ6 	 FBgn0035486
P83296 	 FBgn0045476
P83297 	 FBgn0052255
Q9VSH2 	 FBgn0035870
Q9VTN0 	 FBgn0041231
Q8IPU5 	 FBgn0045474
Q8INM9 	 FBgn0045473
Q9VEU0 	 FBgn0038440
Q8IN58 	 FBgn0045471
Q9VD76 	 FBgn0041229
Q8IN23 	 FBgn0045470
Q9VD74 	 FBgn0045469
Q8IMZ5 	 FBgn0041225
Q8IMQ6 	 FBgn0041224
Q9VB30 	 FBgn0039520
Q9VB26 	 FBgn0046887
Q8IMN6 	 FBgn0046886
Q8IMN5 	 FBgn0046885
Q9U405 	 FBgn0001133
Q24352 	 FBgn0001134
P13002 	 FBgn0259211
Q24570 	 FBgn0015946
Q9VKU7 	 FBgn0026431
Q9XYP7 	 FBgn0026430
P42287 	 FBgn0001137
P91623 	 FBgn0001138
Q9VJ83 	 FBgn0032682
P16371 	 FBgn0001139
O61661 	 FBgn0261278
P20477 	 FBgn0001142
Q94529 	 FBgn0019982
P20478 	 FBgn0001145
P09082 	 FBgn0001148
P09083 	 FBgn0001147
P54366 	 FBgn0010323
P83101 	 FBgn0046332
P20432 	 FBgn0001149
Q9VG98 	 FBgn0010038
Q9VG97 	 FBgn0010039
Q9VG96 	 FBgn0010040
Q9VG95 	 FBgn0010041
Q9VG94 	 FBgn0010042
Q9VG93 	 FBgn0010043
Q7JYX0 	 FBgn0033817
P41043 	 FBgn0010226
Q9VHD3 	 FBgn0037696
Q9VHD2 	 FBgn0037697
P39572 	 FBgn0001150
Q9U5L1 	 FBgn0010391
A1Z6E0 	 FBgn0026238
Q8SY33 	 FBgn0051992
Q07553 	 FBgn0010197
Q7JQ32 	 FBgn0266136
Q8INF0 	 FBgn0038295
Q9VEU6 	 FBgn0038435
Q9VEU5 	 FBgn0038436
Q07093 	 FBgn0013972
P10403 	 FBgn0014964
P10405 	 FBgn0014965
P10401 	 FBgn0014966
P14003 	 FBgn0001168
Q02308 	 FBgn0001169
P10035 	 FBgn0001170
Q94890 	 FBgn0016660
Q8I7Z8 	 FBgn0045852
Q9VXG1 	 FBgn0026575
P83103 	 FBgn0046706
Q02870 	 FBgn0001179
A8JUP7 	 FBgn0030925
P05084 	 FBgn0001180
Q9V4C8 	 FBgn0039904
Q9VNA8 	 FBgn0086695
Q05733 	 FBgn0005619
Q9N2M8 	 FBgn0010113
Q9W3M9 	 FBgn0029977
Q8INF7 	 FBgn0051320
Q9V3R8 	 FBgn0028375
Q27268 	 FBgn0014189
P55162 	 FBgn0011771
Q7K175 	 FBgn0033686
Q23977 	 FBgn0010303
Q9VR91 	 FBgn0031107
Q9NFT9 	 FBgn0042711
Q9NFT7 	 FBgn0042710
Q7KM13 	 FBgn0027788
Q9W568 	 FBgn0001189
Q9VKJ0 	 FBgn0040211
Q02936 	 FBgn0004644
Q24106 	 FBgn0003997
Q09101 	 FBgn0010114
C4NYP8 	 FBgn0260484
Q9VUW9 	 FBgn0259824
Q86DS1 	 FBgn0029676
O17468 	 FBgn0022786
P02255 	 FBgn0001195
P02255 	 FBgn0051617
P02255 	 FBgn0053804
P02255 	 FBgn0053810
P02255 	 FBgn0053813
P02255 	 FBgn0053816
P02255 	 FBgn0053819
P02255 	 FBgn0053822
P02255 	 FBgn0053825
P02255 	 FBgn0053828
P02255 	 FBgn0053831
P02255 	 FBgn0053837
P02255 	 FBgn0053840
P02255 	 FBgn0053843
P02255 	 FBgn0053846
P02255 	 FBgn0053849
P02255 	 FBgn0053852
P02255 	 FBgn0053864
P84051 	 FBgn0001196
P84051 	 FBgn0051618
P84051 	 FBgn0053808
P84051 	 FBgn0053814
P84051 	 FBgn0053817
P84051 	 FBgn0053820
P84051 	 FBgn0053823
P84051 	 FBgn0053826
P84051 	 FBgn0053829
P84051 	 FBgn0053832
P84051 	 FBgn0053835
P84051 	 FBgn0053838
P84051 	 FBgn0053841
P84051 	 FBgn0053844
P84051 	 FBgn0053847
P84051 	 FBgn0053850
P84051 	 FBgn0053862
P84051 	 FBgn0053865
P08985 	 FBgn0001197
P02283 	 FBgn0001198
P02283 	 FBgn0061209
P02283 	 FBgn0053868
P02283 	 FBgn0053870
P02283 	 FBgn0053872
P02283 	 FBgn0053874
P02283 	 FBgn0053876
P02283 	 FBgn0053878
P02283 	 FBgn0053880
P02283 	 FBgn0053882
P02283 	 FBgn0053884
P02283 	 FBgn0053886
P02283 	 FBgn0053888
P02283 	 FBgn0053890
P02283 	 FBgn0053892
P02283 	 FBgn0053894
P02283 	 FBgn0053896
P02283 	 FBgn0053898
P02283 	 FBgn0053900
P02283 	 FBgn0053902
P02283 	 FBgn0053904
P02283 	 FBgn0053906
P02283 	 FBgn0053908
P02283 	 FBgn0053910
P02299 	 FBgn0001199
P84249 	 FBgn0014857
P84249 	 FBgn0004828
P02299 	 FBgn0051613
P02299 	 FBgn0053803
P02299 	 FBgn0053806
P02299 	 FBgn0053809
P02299 	 FBgn0053812
P02299 	 FBgn0053815
P02299 	 FBgn0053818
P02299 	 FBgn0053821
P02299 	 FBgn0053824
P02299 	 FBgn0053827
P02299 	 FBgn0053830
P02299 	 FBgn0053833
P02299 	 FBgn0053836
P02299 	 FBgn0053839
P02299 	 FBgn0053842
P02299 	 FBgn0053845
P02299 	 FBgn0053848
P02299 	 FBgn0053851
P02299 	 FBgn0053854
P02299 	 FBgn0053857
P02299 	 FBgn0053860
P02299 	 FBgn0053863
P02299 	 FBgn0053866
P84040 	 FBgn0001200
P84040 	 FBgn0051611
P84040 	 FBgn0053869
P84040 	 FBgn0053871
P84040 	 FBgn0053873
P84040 	 FBgn0053875
P84040 	 FBgn0053877
P84040 	 FBgn0053879
P84040 	 FBgn0053881
P84040 	 FBgn0053883
P84040 	 FBgn0053885
P84040 	 FBgn0053887
P84040 	 FBgn0053889
P84040 	 FBgn0053891
P84040 	 FBgn0053893
P84040 	 FBgn0053895
P84040 	 FBgn0053897
P84040 	 FBgn0053899
P84040 	 FBgn0053901
P84040 	 FBgn0053903
P84040 	 FBgn0053905
P84040 	 FBgn0053907
P84040 	 FBgn0053909
P84040 	 FBgn0013981
Q9NB71 	 FBgn0030600
P13097 	 FBgn0002633
Q01071 	 FBgn0002734
Q01070 	 FBgn0002735
P14773 	 FBgn0263782
Q05783 	 FBgn0004362
Q06943 	 FBgn0010228
Q967S7 	 FBgn0044442
Q9W5E0 	 FBgn0025639
Q9VE87 	 FBgn0038607
Q9VEI9 	 FBgn0264005
P17276 	 FBgn0001208
P49866 	 FBgn0004914
P12258 	 FBgn0014191
Q9U3Z7 	 FBgn0015393
Q9VKV5 	 FBgn0032250
Q24185 	 FBgn0001202
Q24592 	 FBgn0004864
O01367 	 FBgn0264491
Q8T0S6 	 FBgn0261456
Q9W539 	 FBgn0264562
P49869 	 FBgn0014859
Q05192 	 FBgn0261239
P31396 	 FBgn0000448
Q24142 	 FBgn0015239
Q24143 	 FBgn0015240
P48809 	 FBgn0004838
P48810 	 FBgn0004237
P07909 	 FBgn0001215
Q960X8 	 FBgn0031450
P25722 	 FBgn0024230
P29843 	 FBgn0001216
P11146 	 FBgn0001217
P29844 	 FBgn0001218
P11147 	 FBgn0266599
P29845 	 FBgn0001220
P22813 	 FBgn0001222
P02515 	 FBgn0001223
P02516 	 FBgn0001224
P02517 	 FBgn0001225
P02518 	 FBgn0001226
O02649 	 FBgn0015245
Q9VPS5 	 FBgn0011244
Q9VMN5 	 FBgn0031728
P05812 	 FBgn0001227
P22978 	 FBgn0001228
P22979 	 FBgn0001229
O97125 	 FBgn0001230
P82910 	 FBgn0013275
P02825 	 FBgn0013276
Q8INI8 	 FBgn0013277
Q9BIS2 	 FBgn0013278
Q9VG58 	 FBgn0051354
Q9BIR7 	 FBgn0013279
P02828 	 FBgn0001233
O46339 	 FBgn0001235
Q07407 	 FBgn0010389
Q9VFJ3 	 FBgn0038233
Q02645 	 FBgn0263391
Q9VG55 	 FBgn0028374
P51592 	 FBgn0002431
Q24093 	 FBgn0014906
Q9VKN7 	 FBgn0024227
Q9W1R4 	 FBgn0034853
Q8SZZ8 	 FBgn0038860
A1ZAW5 	 FBgn0029079
Q9VM33 	 FBgn0263133
P22817 	 FBgn0001247
Q8MM24 	 FBgn0020416
Q9V3D4 	 FBgn0020415
Q8MLZ7 	 FBgn0020414
Q9W303 	 FBgn0026415
Q8T0R7 	 FBgn0064237
P12080 	 FBgn0001250
Q9VM64 	 FBgn0031872
Q9VT50 	 FBgn0044051
Q9VT51 	 FBgn0036046
Q9VT52 	 FBgn0044050
Q9VT53 	 FBgn0044049
Q7KUD5 	 FBgn0044048
Q9W4Z4 	 FBgn0044047
Q9W4Q9 	 FBgn0044046
P82706 	 FBgn0034329
O77150 	 FBgn0025583
Q9V8G0 	 FBgn0040736
P82705 	 FBgn0040653
P83869 	 FBgn0067905
P82701 	 FBgn0067903
Q9V8F5 	 FBgn0034328
Q9VCE6 	 FBgn0039139
P29681 	 FBgn0001254
Q09024 	 FBgn0001257
Q95028 	 FBgn0001258
Q8ML70 	 FBgn0033835
Q9VPH0 	 FBgn0001259
P13677 	 FBgn0004784
Q24008 	 FBgn0001263
Q9VVT2 	 FBgn0036816
Q9VDQ0 	 FBgn0260466
Q9VR07 	 FBgn0011603
Q9VDY1 	 FBgn0086613
O97477 	 FBgn0025885
P09208 	 FBgn0283499
Q8SYK5 	 FBgn0031434
O77410 	 FBgn0025582
Q7PLS8 	 FBgn0262117
P05527 	 FBgn0001269
Q9VH19 	 FBgn0086359
Q9V427 	 FBgn0027108
Q9VAS7 	 FBgn0265274
Q9VWL5 	 FBgn0030989
Q9VR82 	 FBgn0027107
Q9V3W6 	 FBgn0027106
P52905 	 FBgn0015001
Q9W2Q7 	 FBgn0050295
Q9VPI2 	 FBgn0031209
E9NA96 	 FBgn0031634
Q23976 	 FBgn0011774
Q9VEZ5 	 FBgn0024222
Q24368 	 FBgn0011604
Q9V7A4 	 FBgn0034005
Q9W1M8 	 FBgn0034880
Q27591 	 FBgn0010395
P29993 	 FBgn0010051
Q7KBL8 	 FBgn0001276
Q9V3P0 	 FBgn0040309
Q7K1V5 	 FBgn0037374
P20348 	 FBgn0001280
P20349 	 FBgn0001281
Q01989 	 FBgn0011225
Q9TVP3 	 FBgn0027654
Q9VJK8 	 FBgn0028841
Q8MKW7 	 FBgn0028426
Q9V3I5 	 FBgn0020412
Q7KHG2 	 FBgn0086655
P21330 	 FBgn0020297
P21328 	 FBgn0015952
P17207 	 FBgn0003358
P17205 	 FBgn0003356
P17205 	 FBgn0003357
P18289 	 FBgn0001291
Q9VY77 	 FBgn0030530
Q9I7K0 	 FBgn0051363
Q9V4L4 	 FBgn0040513
P21525 	 FBgn0001297
A8MPH9 	 A8MPH9missing
O97176 	 FBgn0002578
O76767 	 FBgn0267330
Q9VHH9 	 FBgn0037659
Q9V333 	 FBgn0033233
Q9V6L0 	 FBgn0053182
Q9W401 	 FBgn0261955
Q04652 	 FBgn0001301
O77459 	 FBgn0011236
Q9GYV5 	 FBgn0041205
Q9VMC9 	 FBgn0031821
P17210 	 FBgn0001308
Q9VFG8 	 FBgn0262127
P46824 	 FBgn0010235
Q960Z0 	 FBgn0030268
Q9W1U4 	 FBgn0034824
P46863 	 FBgn0004378
P46867 	 FBgn0004381
Q9VB25 	 FBgn0004387
P56721 	 FBgn0001319
P10734 	 FBgn0001320
P13054 	 FBgn0001323
P07247 	 FBgn0001325
Q9VNE2 	 FBgn0250753
O18391 	 FBgn0020545
P08155 	 FBgn0266450
Q9V447 	 FBgn0266449
Q9VWH8 	 FBgn0040890
Q9VW47 	 FBgn0001324
Q86PC9 	 FBgn0015721
Q9VW71 	 FBgn0261574
O46072 	 FBgn0001330
Q9XYP8 	 FBgn0001612
Q9VR89 	 FBgn0027334
Q9W3C1 	 FBgn0027330
Q8T3X9 	 FBgn0026666
Q9VWH4 	 FBgn0027291
Q9VR59 	 FBgn0027279
P09774 	 FBgn0002561
Q9V3Y3 	 FBgn0261534
Q9V3N8 	 FBgn0261882
Q9VJQ4 	 FBgn0001974
P24156 	 FBgn0002031
Q9VIZ0 	 FBgn0086447
P91660 	 FBgn0010549
Q24371 	 FBgn0013548
P82147 	 FBgn0011296
Q9VKJ9 	 FBgn0261983
P08111 	 FBgn0002121
Q9VM75 	 FBgn0086451
Q9V574 	 FBgn0016970
Q9VLM5 	 FBgn0263852
P82149 	 FBgn0011297
Q27333 	 Q27333missing
Q27237 	 FBgn0002174
Q9VUV9 	 FBgn0263599
Q9VW09 	 FBgn0262517
Q9VTE5 	 FBgn0010741
Q9VEJ2 	 FBgn0010926
P52302 	 FBgn0002440
P40796 	 FBgn0011638
P10105 	 FBgn0002522
Q24372 	 FBgn0010238
Q9V853 	 FBgn0029006
P08928 	 FBgn0002525
Q9VRK8 	 FBgn0016031
Q03427 	 FBgn0010397
Q00174 	 FBgn0002526
P11046 	 FBgn0261800
P15215 	 FBgn0267348
Q9VI75 	 FBgn0086372
Q9V780 	 FBgn0033984
P16621 	 FBgn0000464
Q94901 	 FBgn0011640
Q9VAW5 	 FBgn0261618
Q7JQW6 	 FBgn0029158
Q8I7C3 	 FBgn0063485
Q24188 	 FBgn0016032
Q8MLV1 	 FBgn0034657
Q08832 	 FBgn0010240
P02839 	 FBgn0002531
P07187 	 FBgn0002533
P07188 	 FBgn0002534
P07189 	 FBgn0002535
P82384 	 FBgn0025578
P92192 	 FBgn0020644
P92192 	 FBgn0020643
P92201 	 FBgn0020638
P92201 	 FBgn0020637
Q9VSD7 	 FBgn0035838
Q9VF78 	 FBgn0026634
P34739 	 FBgn0002542
Q59DY6 	 FBgn0053532
Q59DY5 	 FBgn0053533
P91927 	 FBgn0019886
Q961D9 	 FBgn0039907
Q9VMJ7 	 FBgn0031759
Q86S05 	 FBgn0020279
Q9VC35 	 FBgn0027539
Q9VQI9 	 FBgn0041111
Q8IR79 	 FBgn0041203
Q9V4Z9 	 FBgn0002552
Q9VRN5 	 FBgn0035626
O46107 	 FBgn0023496
O46108 	 FBgn0023495
Q7KNS3 	 FBgn0015754
P81829 	 FBgn0028418
Q4V516 	 FBgn0083946
Q9VCX1 	 FBgn0020278
O61267 	 FBgn0019686
P42283 	 FBgn0283521
P42284 	 P42284missing
Q7KQZ4 	 Q7KQZ4missing
Q867Z4 	 Q867Z4missing
Q9V5M6 	 Q9V5M6missing
Q9V5M3 	 Q9V5M3missing
Q7KRI2 	 FBgn0022238
Q7KUT2 	 FBgn0036892
P14083 	 FBgn0266129
Q0KHU5 	 FBgn0052699
Q9VCI3 	 FBgn0039114
Q9VXY7 	 FBgn0030608
P11995 	 FBgn0002562
P11996 	 FBgn0002563
P11997 	 FBgn0002564
Q24388 	 FBgn0002565
Q9W328 	 FBgn0264691
O02372 	 FBgn0020277
Q8MSS1 	 FBgn0029688
P83971 	 FBgn0011201
Q08694 	 FBgn0004425
P83971 	 FBgn0004426
P83972 	 FBgn0004427
P37159 	 FBgn0004428
P29615 	 FBgn0004429
P37160 	 FBgn0004430
P37161 	 FBgn0004431
Q9W349 	 FBgn0002576
O97177 	 FBgn0002592
P13095 	 FBgn0002629
O97179 	 FBgn0002632
Q9U3W6 	 FBgn0029003
Q9VK13 	 FBgn0032493
P16395 	 FBgn0000037
P42003 	 FBgn0011648
Q9Y0Y6 	 FBgn0027497
Q9VNS0 	 FBgn0016034
P49028 	 FBgn0002736
Q9W2F2 	 FBgn0034641
Q9VRA2 	 FBgn0002641
P07190 	 FBgn0002570
P07191 	 FBgn0002569
P07192 	 FBgn0002571
O97178 	 FBgn0002732
P21519 	 FBgn0002643
Q7JRE4 	 FBgn0034962
Q9XZ63 	 FBgn0027095
P23226 	 FBgn0002645
P49071 	 FBgn0013987
Q9V895 	 FBgn0034282
Q9VMX6 	 FBgn0031655
Q7YU24 	 FBgn0029870
Q7K3L1 	 FBgn0033845
Q9VCA8 	 FBgn0043884
Q8IH00 	 FBgn0261286
Q95RA8 	 FBgn0038965
P91664 	 FBgn0017578
O16011 	 FBgn0265487
Q9VPM5 	 FBgn0086912
Q9GYU8 	 FBgn0026207
Q9VXE5 	 FBgn0025743
P49735 	 FBgn0014861
Q9XYU1 	 FBgn0024332
Q9VGW6 	 FBgn0017577
Q9V461 	 FBgn0025815
Q9XYU0 	 FBgn0020633
Q9VIE6 	 FBgn0032929
Q9W445 	 FBgn0029833
Q00449 	 FBgn0004512
Q00748 	 FBgn0004513
P23128 	 FBgn0004419
Q9VP05 	 FBgn0037109
Q9VS38 	 FBgn0035754
Q8MSX2 	 FBgn0024330
Q9GYV9 	 FBgn0051390
A1ZBT5 	 FBgn0034503
A1ZB42 	 FBgn0260401
Q9GYU7 	 FBgn0036581
Q9VVS4 	 FBgn0036811
Q9W0P8 	 FBgn0035145
Q9Y149 	 FBgn0027592
Q9W278 	 FBgn0034707
Q9VEC1 	 FBgn0038578
Q9XZT1 	 FBgn0026873
Q9VVL6 	 FBgn0036761
P91641 	 FBgn0013531
Q9W5P1 	 FBgn0040020
Q9V439 	 FBgn0040339
Q9W1X7 	 FBgn0034795
Q9VSF2 	 FBgn0035851
Q9VDR1 	 FBgn0038760
Q9V4F9 	 FBgn0039923
Q9VNG0 	 FBgn0037359
Q9VBQ9 	 FBgn0039337
Q9W0P3 	 FBgn0035149
Q8IH24 	 FBgn0037262
P40791 	 FBgn0011656
Q24087 	 FBgn0002707
Q9VXG8 	 FBgn0004367
Q9VDD7 	 FBgn0250820
Q9VS36 	 FBgn0016036
Q24141 	 FBgn0002715
Q7KPA5 	 FBgn0002716
Q9VS24 	 FBgn0023001
Q9VRL2 	 FBgn0260856
Q24564 	 FBgn0086384
Q8MT36 	 FBgn0039559
Q0KHY3 	 FBgn0051004
Q9VAM9 	 FBgn0039650
Q86BS6 	 FBgn0035247
Q24247 	 FBgn0004456
P23487 	 FBgn0004228
Q9VXJ0 	 FBgn0030731
Q9VAY3 	 FBgn0039561
P91685 	 FBgn0019985
Q9VGP6 	 FBgn0264694
P05661 	 FBgn0264695
O97159 	 FBgn0262519
Q9VUX2 	 FBgn0263601
Q86BA1 	 FBgn0053208
Q960V3 	 FBgn0262872
Q9VQ89 	 FBgn0031399
Q9VVF7 	 FBgn0036713
A1Z9E2 	 FBgn0033846
Q8IMX7 	 FBgn0039140
P91928 	 FBgn0019960
Q9VVW5 	 FBgn0036844
P06742 	 FBgn0002772
P18432 	 FBgn0002773
P54357 	 FBgn0004687
P24785 	 FBgn0002774
Q9NKV0 	 FBgn0034051
P53777 	 FBgn0259209
Q24400 	 FBgn0014863
Q8MPP3 	 FBgn0033438
P49657 	 FBgn0259168
P91891 	 FBgn0017572
Q8IQG1 	 FBgn0259481
Q9VL13 	 FBgn0259482
Q7K0E3 	 FBgn0259483
Q8IQF1 	 FBgn0263241
Q9VBX2 	 FBgn0039280
P13469 	 FBgn0002780
Q86B87 	 FBgn0002781
P46150 	 FBgn0011661
O02193 	 FBgn0014340
Q9VLT1 	 FBgn0031985
Q9W534 	 FBgn0025631
P14318 	 FBgn0002789
Q7KSC4 	 FBgn0038662
O62618 	 FBgn0015765
Q9Y0I1 	 FBgn0027378
Q9VF89 	 FBgn0038319
Q9VPL3 	 FBgn0031231
Q9VFJ2 	 FBgn0038234
Q9VJ38 	 FBgn0032720
Q9VHN6 	 FBgn0037608
Q9VXB5 	 FBgn0030786
Q9W021 	 FBgn0035335
Q9VMY1 	 FBgn0031651
Q9VMX0 	 FBgn0031660
Q9V9Z1 	 FBgn0039835
Q9W4L1 	 FBgn0040907
Q0E959 	 FBgn0083983
Q8MS27 	 FBgn0038923
Q9VUJ0 	 FBgn0036462
Q7JZM8 	 FBgn0034001
Q9VCX3 	 FBgn0263863
Q9VYI3 	 FBgn0030433
Q9VLJ9 	 FBgn0032053
Q7JWG9 	 FBgn0033208
Q9VE04 	 FBgn0038678
Q9VZD5 	 FBgn0035534
Q9VKX4 	 FBgn0032236
Q9VFB2 	 FBgn0038307
Q9V6Y3 	 FBgn0033907
Q9VCC3 	 FBgn0039159
Q9VY28 	 FBgn0030572
Q9VVN2 	 FBgn0036774
Q9VUM0 	 FBgn0036486
P50535 	 FBgn0005617
P50534 	 FBgn0005616
P50536 	 FBgn0002775
P23488 	 FBgn0004414
O01939 	 FBgn0020272
Q24437 	 FBgn0011667
Q9VBL6 	 FBgn0011668
Q9VBL7 	 FBgn0011669
Q9V3J3 	 FBgn0011670
P16909 	 FBgn0086915
Q01642 	 FBgn0004172
Q01643 	 FBgn0004173
Q01644 	 FBgn0004174
Q01645 	 FBgn0004175
P08175 	 FBgn0002862
O46040 	 FBgn0053548
P83501 	 P83501missing
Q9V813 	 FBgn0034215
P00850 	 FBgn0013672
P84345 	 FBgn0013673
P00399 	 FBgn0013674
P00408 	 FBgn0013675
P00417 	 FBgn0013676
P18935 	 FBgn0013678
O97148 	 FBgn0023000
Q9VXD9 	 FBgn0030766
Q9VRN2 	 FBgn0035623
Q9V818 	 FBgn0028956
Q9V817 	 FBgn0034219
Q9VGG8 	 FBgn0037960
Q9VS77 	 FBgn0035789
Q9VSE7 	 FBgn0035847
Q9W0V7 	 FBgn0052475
Q9W0R6 	 FBgn0035131
Q9W0R5 	 FBgn0035132
P83118 	 FBgn0045443
P83119 	 FBgn0045442
Q8SYV9 	 FBgn0052476
Q24395 	 FBgn0014865
P04357 	 FBgn0002868
P11956 	 FBgn0002869
Q9VDN2 	 FBgn0038790
Q8I9B4 	 FBgn0053192
P18929 	 FBgn0013679
P03896 	 FBgn0013680
P18930 	 FBgn0013681
P18931 	 FBgn0262952
P18934 	 FBgn0013683
P18932 	 FBgn0013684
P18933 	 FBgn0013685
A1Z8P9 	 FBgn0013756
Q23973 	 FBgn0010431
P23696 	 FBgn0004177
Q9VLP4 	 FBgn0262598
P54622 	 FBgn0010438
Q9VTM5 	 FBgn0261381
Q9VH38 	 FBgn0037778
Q9VVN4 	 FBgn0002901
O18475 	 FBgn0002905
Q9VS48 	 FBgn0002909
Q0KI28 	 FBgn0083967
P49283 	 FBgn0011672
Q9VR35 	 FBgn0031637
P04197 	 FBgn0002914
Q23978 	 FBgn0086347
Q23979 	 FBgn0010246
P11584 	 FBgn0004657
Q7KKH3 	 FBgn0033379
Q9NI63 	 FBgn0040298
P07207 	 FBgn0004647
Q95SX8 	 FBgn0036039
Q9W4C5 	 FBgn0029762
Q59E55 	 FBgn0259986
Q9VHT4 	 FBgn0265351
Q94518 	 FBgn0086904
O61365 	 FBgn0024319
P09478 	 FBgn0000036
P17644 	 FBgn0000039
P04755 	 FBgn0000038
P25162 	 FBgn0004118
Q9W0Y8 	 FBgn0085434
P22816 	 FBgn0002922
Q9VIF1 	 FBgn0032924
Q9VJQ5 	 FBgn0028926
P42325 	 FBgn0013303
P20480 	 FBgn0002924
Q9U6A0 	 FBgn0028704
Q9VJ87 	 FBgn0086707
Q9VC27 	 FBgn0039234
P91929 	 FBgn0019957
Q94511 	 FBgn0017566
Q94519 	 FBgn0011361
Q9VCG4 	 FBgn0039125
P98159 	 FBgn0002926
Q9VVI3 	 FBgn0259174
Q9VJ33 	 FBgn0032725
Q86NP2 	 FBgn0038872
Q9Y113 	 FBgn0027553
P92204 	 FBgn0017430
Q9V9U4 	 FBgn0261479
Q9VVX5 	 FBgn0026630
Q24567 	 FBgn0015773
Q24568 	 FBgn0015774
P29503 	 FBgn0002932
Q9VI25 	 FBgn0037447
P23938 	 FBgn0002933
P40139 	 FBgn0010294
P40140 	 FBgn0010295
P40141 	 FBgn0010296
Q9V3U2 	 FBgn0029148
P15425 	 FBgn0002936
Q9VFS2 	 FBgn0002937
P10676 	 FBgn0002938
P06002 	 FBgn0002940
Q9VGP2 	 FBgn0037896
Q8I8U7 	 FBgn0053554
Q7PLI2 	 FBgn0026401
Q9VXK0 	 FBgn0030724
O76464 	 FBgn0024945
